Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SOXL,SOXL,SOXL,SOXL,SOXL,SOXL
Date,,,,,,
2023-12-18,30.059415817260742,30.290000915527344,30.709999084472656,29.459999084472656,30.559999465942383,46100400
2023-12-19,30.515913009643555,30.75,30.979999542236328,30.290000915527344,30.329999923706055,39361100
2023-12-20,27.886089324951172,28.100000381469727,30.6200008392334,28.049999237060547,30.200000762939453,59562600
2023-12-21,30.097122192382812,30.260000228881836,30.40999984741211,29.350000381469727,29.75,62019200
2023-12-22,30.345775604248047,30.510000228881836,31.079999923706055,29.8799991607666,30.6200008392334,42545100
2023-12-26,31.986892700195312,32.15999984741211,32.529998779296875,30.90999984741211,30.93000030517578,48619700
2023-12-27,32.17586898803711,32.349998474121094,32.7400016784668,31.850000381469727,32.560001373291016,47991500
2023-12-28,32.04656982421875,32.220001220703125,32.779998779296875,32.04999923706055,32.59000015258789,34883800
2023-12-29,31.23098373413086,31.399999618530273,32.349998474121094,30.889999389648438,32.16999816894531,53166400
2024-01-02,27.889070510864258,28.040000915527344,29.899999618530273,27.260000228881836,29.889999389648438,79763800
2024-01-03,26.108705520629883,26.25,27.049999237060547,25.8799991607666,26.59000015258789,62304900
2024-01-04,25.442312240600586,25.579999923706055,26.329999923706055,24.799999237060547,24.959999084472656,75067000
2024-01-05,25.79042625427246,25.93000030517578,26.6200008392334,25.399999618530273,25.649999618530273,73790500
2024-01-08,28.2769718170166,28.43000030517578,28.670000076293945,26.43000030517578,26.489999771118164,73206500
2024-01-09,28.267024993896484,28.420000076293945,29.139999389648438,27.350000381469727,27.5,67616000
2024-01-10,28.01837158203125,28.170000076293945,28.68000030517578,27.09000015258789,28.639999389648438,62528400
2024-01-11,28.306808471679688,28.459999084472656,29.040000915527344,26.780000686645508,28.25,77551200
2024-01-12,27.948749542236328,28.100000381469727,28.979999542236328,27.610000610351562,28.579999923706055,48893000
2024-01-16,29.032880783081055,29.190000534057617,29.829999923706055,27.700000762939453,28.149999618530273,77707000
2024-01-17,28.2769718170166,28.43000030517578,28.549999237060547,26.959999084472656,28.3700008392334,77075400
